high_impact_sector,Dev America CA,Dev America US,Dev Asia-Pac JP,Dev Asia-Pac Other,Dev Europe EU,Dev Europe GB,Dev Europe Other,Emg America,Emg Asia-Pac CN,Emg Asia-Pac IN,Emg Asia-Pac Other,Emg EMEA
"Agriculture, forestry and fishing",0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0
Airlines,1.0,4.0,1.0,1.0,1.0,0.0,1.0,0.0,5.0,1.0,1.0,0.0
Aluminium,0.0,3.0,2.0,0.0,1.0,0.0,1.0,0.0,5.0,2.0,0.0,0.0
Automobiles,1.0,21.0,12.0,5.0,7.0,0.0,4.0,0.0,17.0,2.0,0.0,0.0
Banking,1.0,36.0,11.0,7.0,5.0,9.0,5.0,6.0,28.0,1.0,4.0,0.0
Cement,0.0,0.0,1.0,0.0,3.0,0.0,1.0,2.0,2.0,1.0,3.0,0.0
Chemicals,5.0,163.0,45.0,7.0,32.0,12.0,19.0,0.0,33.0,13.0,8.0,0.0
Coal mining,0.0,6.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0
Consumer goods & services,3.0,87.0,29.0,15.0,11.0,12.0,8.0,5.0,7.0,2.0,7.0,0.0
Diversified mining,25.0,10.0,2.0,13.0,0.0,10.0,0.0,1.0,9.0,2.0,0.0,0.0
Electric utilities,6.0,23.0,4.0,12.0,8.0,3.0,3.0,8.0,11.0,4.0,3.0,0.0
Food producers,1.0,20.0,11.0,5.0,11.0,4.0,5.0,4.0,7.0,1.0,3.0,0.0
Industrials,10.0,283.0,118.0,23.0,54.0,38.0,65.0,1.0,91.0,8.0,83.0,0.0
Oil and gas,14.0,58.0,5.0,4.0,14.0,8.0,6.0,5.0,4.0,6.0,7.0,0.0
Paper,0.0,8.0,2.0,0.0,3.0,1.0,2.0,2.0,1.0,0.0,0.0,0.0
Real estate,3.0,28.0,10.0,18.0,11.0,13.0,17.0,2.0,4.0,2.0,2.0,0.0
Shipping,0.0,8.0,2.0,2.0,2.0,0.0,2.0,0.0,3.0,0.0,2.0,0.0
Steel,0.0,7.0,6.0,2.0,5.0,2.0,1.0,1.0,2.0,6.0,4.0,0.0
Transportation,6.0,27.0,12.0,6.0,9.0,5.0,6.0,5.0,9.0,6.0,4.0,0.0
non-HIMS,21.0,446.0,56.0,44.0,59.0,95.0,54.0,7.0,88.0,22.0,27.0,0.0
