high_impact_sector,Dev America CA,Dev America US,Dev Asia-Pac JP,Dev Asia-Pac Other,Dev Europe EU,Dev Europe GB,Dev Europe Other,Emg America,Emg Asia-Pac CN,Emg Asia-Pac IN,Emg Asia-Pac Other,Emg EMEA
"Agriculture, forestry and fishing",'0/0,'2/8,'0/0,'0/1,'0/0,'1/2,'0/4,'0/0,'0/2,'0/0,'2/4,'0/0
Airlines,'1/3,'4/23,'1/4,'1/3,'1/5,'0/4,'1/3,'0/3,'5/6,'1/3,'1/3,'0/2
Aluminium,'0/0,'3/4,'2/3,'0/0,'1/1,'0/0,'1/2,'0/0,'5/10,'2/2,'0/1,'0/1
Automobiles,'1/4,'21/62,'12/25,'5/8,'7/23,'0/4,'4/8,'0/0,'17/41,'2/11,'0/6,'0/0
Banking,'1/13,'36/397,'11/59,'7/21,'5/45,'9/33,'5/46,'6/22,'28/38,'1/39,'4/44,'0/55
Cement,'0/0,'0/1,'1/1,'0/0,'3/3,'0/0,'1/2,'2/2,'2/2,'1/4,'3/4,'0/0
Chemicals,'5/15,'163/433,'45/61,'7/14,'32/51,'12/31,'19/50,'0/3,'33/77,'13/24,'8/21,'0/4
Coal mining,'0/0,'6/10,'0/0,'2/4,'0/0,'0/0,'0/0,'0/0,'3/6,'0/1,'0/4,'0/0
Consumer goods & services,'3/12,'87/169,'29/49,'15/22,'11/23,'12/27,'8/20,'5/9,'7/17,'2/7,'7/13,'0/10
Diversified mining,'25/84,'10/42,'2/3,'13/38,'0/1,'10/29,'0/3,'1/5,'9/26,'2/3,'0/3,'0/11
Electric utilities,'6/12,'23/50,'4/10,'12/13,'8/17,'3/7,'3/10,'8/15,'11/15,'4/10,'3/8,'0/11
Food producers,'1/3,'20/61,'11/30,'5/11,'11/18,'4/13,'5/21,'4/10,'7/25,'1/10,'3/10,'0/1
Industrials,'10/30,'283/629,'118/178,'23/37,'54/104,'38/68,'65/133,'1/2,'91/282,'8/24,'83/138,'0/5
Oil and gas,'14/42,'58/168,'5/12,'4/14,'14/20,'8/15,'6/18,'5/9,'4/7,'6/9,'7/12,'0/10
Paper,'0/1,'8/17,'2/3,'0/1,'3/6,'1/2,'2/4,'2/3,'1/3,'0/0,'0/0,'0/0
Real estate,'3/10,'28/64,'10/17,'18/23,'11/19,'13/24,'17/38,'2/7,'4/8,'2/6,'2/7,'0/10
Shipping,'0/0,'8/34,'2/4,'2/6,'2/2,'0/2,'2/6,'0/0,'3/5,'0/0,'2/5,'0/3
Steel,'0/1,'7/13,'6/6,'2/2,'5/9,'2/2,'1/1,'1/1,'2/4,'6/8,'4/4,'0/1
Transportation,'6/12,'27/85,'12/29,'6/18,'9/22,'5/11,'6/16,'5/9,'9/21,'6/8,'4/12,'0/2
non-HIMS,'21/46,'446/1060,'56/91,'44/76,'59/119,'95/170,'54/116,'7/19,'88/178,'22/46,'27/58,'0/36
